title;activity;address;telephone;deleted
Яндекс;РазработкаПО;ул. GrooveStreet, 0;1-596-965-59-56;false
Google;РазработкаПО;ул. Петренко, 96;5-635-485-96-78;false
Рога и Копыта;Скотобаза;ул. Каруселина, 1;+2-154-569-45-29;false
Петучи;Юмор;ул. Московская, 15;+1-456-859-45-89;false
КВН;Помойка;ул. Пронина, 4;8-489-854-78-96;false
Tesla;Автомобилестроение;ул. Мориса Тереза, 5;+7-256-458-78-23;false
SpaceX;Ракетостроение;ул. Ленина, 5;8-154-638-96-96;false
СберТех;РазработкаПО;пр. Автостроителей, 109;8-156-845-78-12;false
Uber;Торговля;ул. Промышленная, 99;+7-485-635-48-79;false
Telegeram;Лалка;ул. Телеграммная, 48;8-963-456-85-71;false
